run_id,model_key,dataset_key,seed,rank,effective_bits_per_value,file_megabytes,truncated_bits_saved,random_mask_bits_saved,truncated_retained,random_mask_retained,retained_gain_points
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,1.991311605874594,2.512175,7802.6831652489345,5808.125976861722,0.9907094891885021,0.7374598452628016,25.32496439257005
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,8,1.037978135146104,2.61896,7480.208351995898,6084.933706200884,0.9497647461112814,0.7726062222627553,17.715852384852603
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,2.8487564681412336,3.5939,7870.630571507325,7244.92656771712,0.9993367958111447,0.9198909332982308,7.9445862512913905
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,8,1.5151731813108766,3.822988,7732.53165221079,7336.607163900134,0.9818023263349143,0.931531651585691,5.027067474922323
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s11__5ebaf38834,qwen25_7b_base,kind_code,11,4,3.336648519937094,4.209409,7894.894307570314,7475.728362428282,1.002417571110061,0.9491959202238135,5.322165088624733
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,1,2.1938603388798703,0.691926,7588.593767649028,1046.9268103337522,0.9621985948705366,0.13274547784200472,82.94531170285319
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,2,1.1409436510754871,0.719689,7254.404283297816,1098.348173224007,0.9198249137764088,0.13926546884880484,78.0559444927604
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,2,1.1415666852678572,0.720082,7254.404283297816,1099.0760699072139,0.9198249137764088,0.13935776278194148,78.04671509944671
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,4,0.572225199117289,0.721901,4881.63066648363,1102.4451387793592,0.6189681924985486,0.1397849451340421,47.91832473645065
qwen25-kind-code__qwen25-7b-base__kind-code__all-linear-r16__s22__4340ebd7bd,qwen25_7b_base,kind_code,22,8,0.2873891855215097,0.725122,1757.6319604959863,1108.4109281345986,0.22285960409404298,0.1405413796343808,8.23182244596622
